,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
258,Kareem Hunt,84,CLE,2.0,4,11.0,71.0,2,0.0,0.0,0.0,0,DAL
259,Ronald Jones II,83,TB,1.0,4,20.0,111.0,0,9.0,6.0,17.0,0,LAC
260,Devin Singletary,79,BUF,1.0,4,18.0,56.0,1,6.0,5.0,21.0,0,LV
261,Ezekiel Elliott,88,DAL,1.0,4,12.0,54.0,0,8.0,8.0,71.0,0,CLE
262,Jamaal Williams,78,GB,2.0,4,8.0,10.0,0,8.0,8.0,95.0,0,ATL
263,D'Andre Swift,76,DET,3.0,4,4.0,22.0,0,4.0,4.0,30.0,1,NO
264,Reggie Bonnafon,67,CAR,2.0,4,10.0,53.0,0,2.0,2.0,18.0,1,ARI
265,Chase Edmonds,79,ARI,2.0,4,4.0,16.0,0,6.0,5.0,24.0,1,CAR
266,James Robinson,81,JAX,1.0,4,17.0,75.0,0,4.0,4.0,32.0,0,CIN
267,James White,81,NE,1.0,4,3.0,21.0,0,8.0,7.0,38.0,0,KC
268,Clyde Edwards-Helaire,83,KC,1.0,4,16.0,64.0,0,3.0,3.0,27.0,0,NE
269,David Johnson,75,HOU,1.0,4,16.0,63.0,0,3.0,2.0,29.0,0,MIN
270,Devonta Freeman,76,NYG,1.0,4,11.0,33.0,0,4.0,4.0,35.0,0,LAR
271,David Montgomery,79,CHI,1.0,4,10.0,27.0,0,6.0,3.0,30.0,0,IND
272,Malcolm Brown,70,LAR,2.0,4,9.0,38.0,0,6.0,5.0,19.0,0,NYG
273,Mark Ingram,79,BAL,1.0,4,8.0,34.0,1,1.0,1.0,3.0,0,WAS
