,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
378,Olamide Zaccheaus,67,ATL,5.0,4,9,8,86,0,0,0,0,GB
379,Tyler Boyd,86,CIN,1.0,4,8,7,90,0,1,4,0,JAX
380,Tyreek Hill,96,KC,1.0,4,6,4,64,1,0,0,0,NE
381,Kenny Golladay,82,DET,3.0,4,8,4,62,1,0,0,0,NO
382,Emmanuel Sanders,86,NO,1.0,4,9,6,93,0,0,0,0,DET
383,Jeff Smith,67,NYJ,2.0,4,9,7,81,0,0,0,0,DEN
384,D.K. Metcalf,87,SEA,1.0,4,6,4,106,0,0,0,0,MIA
385,Nelson Agholor,78,LV,1.0,4,4,4,44,1,0,0,0,BUF
386,Justin Jefferson,84,MIN,1.0,4,5,4,103,0,0,0,0,HOU
387,Jalen Guyton,67,LAC,2.0,4,1,1,72,1,0,0,0,TB
388,Keenan Allen,92,LAC,1.0,4,11,8,62,0,0,0,0,TB
389,Laviska Shenault Jr,78,JAX,1.0,4,6,5,86,0,1,5,0,CIN
390,Jerry Jeudy,75,DEN,1.0,4,4,2,61,1,0,0,0,NYJ
391,Travis Fulgham,67,PHI,2.0,4,3,2,57,1,0,0,0,SF
392,Brandon Aiyuk,70,SF,1.0,4,5,2,18,0,1,38,1,PHI
393,Damiere Byrd,72,NE,1.0,4,10,5,80,0,0,0,0,KC
394,Tee Higgins,76,CIN,1.0,4,7,4,77,0,1,13,0,JAX
395,Mecole Hardman,79,KC,2.0,4,4,4,27,1,0,0,0,NE
396,Marquise Brown,78,BAL,2.0,4,8,4,86,0,0,0,0,WAS
397,Tyron Johnson,71,LAC,2.0,4,1,1,53,1,0,0,0,TB
398,Cole Beasley,86,BUF,1.0,4,4,3,32,1,0,0,0,LV
399,Kenny Stills,85,HOU,4.0,4,4,2,39,1,0,0,0,MIN
400,DeAndre Hopkins,99,ARI,1.0,4,9,7,41,0,0,0,0,CAR
401,N'Keal Harry,74,NE,1.0,4,6,3,21,1,0,0,0,KC
402,Christian Kirk,78,ARI,1.0,4,5,3,19,1,0,0,0,CAR
403,Hunter Renfrow,77,LV,1.0,4,8,5,57,0,0,0,0,BUF
404,Darnell Mooney,67,CHI,1.0,4,9,5,52,0,1,-3,0,IND
405,Jarvis Landry,87,CLE,1.0,4,6,5,48,0,0,0,0,DAL
406,Robert Woods,88,LAR,1.0,4,7,6,36,0,1,2,0,NYG
407,Gabriel Davis,72,BUF,2.0,4,1,1,26,1,0,0,0,LV
408,D.J. Moore,81,CAR,1.0,4,6,4,49,0,0,0,0,ARI
409,Isaiah Ford,68,MIA,3.0,4,10,4,48,0,0,0,0,SEA
410,Zach Pascal,72,IND,1.0,4,8,3,58,0,0,0,0,CHI
411,Keelan Cole,75,JAX,1.0,4,5,4,46,0,0,0,0,CIN
412,Marquez Valdes-Scantling,70,GB,2.0,4,8,4,45,0,0,0,0,ATL
413,Noah Brown,69,DAL,2.0,4,4,4,43,0,0,0,0,CLE
414,John Brown,81,BUF,1.0,4,5,4,42,0,0,0,0,LV
415,Justin Watson,67,TB,2.0,4,6,4,40,0,0,0,0,LAC
416,Greg Ward,72,PHI,,4,7,4,38,0,0,0,0,SF
417,Curtis Samuel,85,CAR,2.0,4,4,3,51,0,2,-3,0,ARI
418,Darius Slayton,77,NYG,1.0,4,7,3,48,0,0,0,0,LAR
419,Danny Amendola,81,DET,1.0,4,3,2,57,0,0,0,0,NO
420,Christian Blake,67,ATL,2.0,4,5,3,47,0,0,0,0,GB
421,Deebo Samuel,82,SF,1.0,4,3,3,35,0,1,10,0,PHI
422,Chris Conley,75,JAX,2.0,4,4,3,44,0,0,0,0,CIN
423,Julio Jones,98,ATL,1.0,4,4,4,32,0,0,0,0,GB
424,Zay Jones,78,LV,2.0,4,7,4,32,0,0,0,0,BUF
425,Isaiah Wright,73,WAS,1.0,4,5,4,20,0,1,9,0,BAL
426,Dontrelle Inman,75,WAS,1.0,4,5,4,29,0,0,0,0,BAL
427,Jakeem Grant,74,MIA,1.0,4,5,3,36,0,0,0,0,SEA
428,Julian Edelman,79,NE,1.0,4,6,3,35,0,0,0,0,KC
